AccountNumber,Date,D-C-ind,Amount,Payment Method,Merchant,Description Lines,ExpenseType,ExpenseCategory
NL72ABNA0123456788,20240331,D,3500,SEPA OVERBOEKING,Unknown,SEPA Overboeking      IBAN: NL27ABNA0123456789        BIC: ABNANL2A Naam: PK SINGH,Others,M
NL72ABNA0123456788,20240401,D,5.27,Google Pay,Vomar Literatuurwijk,"BEA, Google Pay       Vomar Literatuurwijk,PAS304     NR:100J10, 01.04.24/11:11        ALMERE",Groceries,M
NL72ABNA0123456788,20240401,D,14.5,Google Pay,Autoradam wasstraat,"BEA, Google Pay       Autoradam wasstraat,PAS304      NR:WRV5C4, 01.04.24/11:30        ALMERE",Utilities,M
NL72ABNA0123456788,20240401,D,1,Debit Card,Autoradam stofzuiger 1,"BEA, Betaalpas        Autoradam stofzuiger 1,PAS304   NR:XPV231, 01.04.24/11:38        ALMERE",Utilities,M
NL72ABNA0123456788,20240401,D,11.81,Google Pay,Vomar Filmwijk,"BEA, Google Pay       Vomar Filmwijk,PAS304   NR:03MC03, 01.04.24/17:59        ALMERE",Groceries,M
NL72ABNA0123456788,20240402,D,22.02,Credit Card,Unknown,SEPA Incasso algemeen doorlopend Incassant: NL13ZZZ332005960000  Naam: INT CARD SERVICES  Machtiging: E070879000019001    Omschrijving: Incasso mrt 2024 b etreffende uw creditcard ICS-klantnummer 70879000019  IBAN: NL23ABNA0818769483        Kenmerk: 05158CI001025777,Fee,M
NL72ABNA0123456788,20240402,D,31,SEPA Incasso,Unknown,SEPA Incasso algemeen doorlopend Incassant: NL47ZZZ341387120000  Naam: Aquayara Stad B.V. Machtiging: M2-27208 Omschrijving: t/m maand 042024 /  NR: 27208 AI: Baby/ Peuter survi  IBAN: NL62INGB0009154443        Kenmerk: TRS41981,Others,M
NL72ABNA0123456788,20240402,D,223,SEPA Incasso,Unknown,"SEPA Incasso algemeen doorlopend Incassant: NL43B2C091055420000  Naam: Vattenfall Klantenservice  N.V.      Machtiging: M011000006034955     Omschrijving: 514804931415 Factnr 55503631396 BTW 37,55 Termijn  mrt 2024 Klantnr 24510891 CRN 3014691258 Galopstraat 50 1326 RR",Others,M
NL72ABNA0123456788,20240402,D,13.62,SEPA Incasso,Unknown,SEPA Incasso algemeen doorlopend Incassant: NL47ZZZ524034240000  Naam: Nationale-Nederlanden      Machtiging: 24058919-0547586671 Omschrijving: Polisnr.: 24058919  01.04.2024 - 30.04.2024        IBAN: NL57INGB0006296331 Kenmerk: 590015498533,Others,M
NL72ABNA0123456788,20240402,C,279.49,SEPA OVERBOEKING,Unknown,SEPA Overboeking      IBAN: NL16RABO0317347780        BIC: RABONL2U Naam: Sociale Verzekeringsbank  Omschrijving: KINDERBIJSLAG 1e k wart. 24 VZ62078850 WWW.SVB.NL Sociale Verzekeringsbank  Kenmerk: VZ6207885004022024032601,Others,M
NL72ABNA0123456788,20240404,D,500,iDEAL,Tikkie Omschrijving: 000807489856 00300 16420794062 ,SEPA iDEAL    IBAN: NL61ABNA0811086593        BIC: ABNANL2A Naam: Tikkie Omschrijving: 000807489856 00300 16420794062 Essaddouqi NL61ABNA0618652949 Tikkie      Kenmerk: 04-04-2024 13:15 0030016420794062,Others,M
NL72ABNA0123456788,20240404,D,273.25,Google Pay,Bowling Almere BV,"BEA, Google Pay       Bowling Almere BV,PAS304        NR:DT0BT8, 04.04.24/17:38        ALMERE",Entertainment,O
NL72ABNA0123456788,20240406,D,8.15,Google Pay,People food market,"BEA, Google Pay       People food market,PAS304       NR:0JY035, 06.04.24/12:30        ALMERE",Groceries,M
NL72ABNA0123456788,20240406,D,25.4,Google Pay,Zettle_*Spicebazaar,"BEA, Google Pay       Zettle_*Spicebazaar,PAS304      NR:88411701, 06.04.24/12:33      Almere",Groceries,M
NL72ABNA0123456788,20240406,D,14.47,Google Pay,Tanger Almere,"BEA, Google Pay       Tanger Almere,PAS304 NR:087709EQ, 06.04.24/12:42      ALMERE",Groceries,M
NL72ABNA0123456788,20240406,D,5.25,Google Pay,Banketbakkerij Schep,"BEA, Google Pay       Banketbakkerij Schep,PAS304     NR:0B8CC2, 06.04.24/13:02        ALMERE",Dining,O
NL72ABNA0123456788,20240406,D,51.7,Google Pay,Vomar Filmwijk,"BEA, Google Pay       Vomar Filmwijk,PAS304   NR:03MC02, 06.04.24/14:19        ALMERE",Groceries,M
NL72ABNA0123456788,20240407,D,94.5,iDEAL,FunZone via PAY.nl,SEPA iDEAL    IBAN: NL35RABO0117713678        BIC: RABONL2U Naam: FunZone via PAY.nl        Omschrijving: 2412921681Xa0c8e 0 370496312874545 Reservering 5090706 (05-05-20 Kenmerk: 07-04-2024 15:25 0370496312874545,Entertainment,O
NL72ABNA0123456788,20240407,D,1088.77,iDEAL,Gemeente Almere,SEPA iDEAL    IBAN: NL40BNGH0285041991        BIC: BNGHNL2G Naam: Gemeente Almere   Omschrijving: 4000000009011820 0 670016440521466 Gemeentelijke belastingen 2024        Kenmerk: 07-04-2024 15:29 0670016440521466,Utilities,M
NL72ABNA0123456788,20240408,D,18.98,iDEAL,Dominos      ,SEPA iDEAL    IBAN: NL04ADYB2017400157        BIC: ADYBNL2A Naam: Dominos        Omschrijving: G5GNDMPKHH7S39F6JG 0S 7180708574075928 d539decc-8423-4be5-8cbf-9c533c65b7a  Kenmerk: 08-04-2024 19:42 7180708574075928,Dining,O
NL72ABNA0123456788,20240409,D,14,SEPA Incasso,Unknown,"SEPA Incasso algemeen doorlopend Incassant: NL84ZZZ050695810000  Naam: VITENS NV       Machtiging: 000003246547        Omschrijving: Factuurnr 13370041 7421, Klantnr 1011917362 BTW 1,16, 1326 RR 50,, Termijnfactuur M RT        IBAN: NL94INGB0000869000",Others,M
NL72ABNA0123456788,20240409,D,15.58,Google Pay,ALBERT HEIJN 2242,"BEA, Google Pay       ALBERT HEIJN 2242,PAS304        NR:N420T2, 09.04.24/18:40        ALMERE",Groceries,M
NL72ABNA0123456788,20240409,D,11.65,iDEAL,Tikkie,SEPA iDEAL    IBAN: NL61ABNA0811086593        BIC: ABNANL2A Naam: Tikkie Omschrijving: 000810348438 00300 16454056984 Brown NL64ABNA0419109927 Tikkie   Kenmerk: 09-04-2024 18:51 0030016454056984,Others,M
NL72ABNA0123456788,20240409,D,40,iDEAL,Tikkie,SEPA iDEAL    IBAN: NL61ABNA0811086593        BIC: ABNANL2A Naam: Tikkie Omschrijving: 000810404241 00300 16454790216 Bitt NL35ABNA0104063858 Tikkie    Kenmerk: 09-04-2024 20:28 0030016454790216,Others,M
NL72ABNA0123456788,20240410,D,15,Debit Card,Almere Centrum 775,"BEA, Betaalpas        Almere Centrum 775,PAS304       NR:R629M5, 10.04.24/08:55        ALMERE",Utilities,M
NL72ABNA0123456788,20240410,D,16.95,Google Pay,Zettle_*Spicebazaar,"BEA, Google Pay       Zettle_*Spicebazaar,PAS304      NR:75044026, 10.04.24/16:48      Almere",Groceries,M
NL72ABNA0123456788,20240410,D,15.49,Google Pay,Kruidvat 3280,"BEA, Google Pay       Kruidvat 3280,PAS304 NR:1HDN0D, 10.04.24/16:53        ALMERE",Healthcare,M
NL72ABNA0123456788,20240410,D,1.75,Google Pay,BPT*BRAINPOINT,"BEA, Google Pay       BPT*BRAINPOINT,PAS304   NR:874NF5, 10.04.24/16:56        ROTTERDAM",Others,M
NL72ABNA0123456788,20240411,D,6.64,Google Pay,ABN AMRO Amstelveen,"BEA, Google Pay       ABN AMRO Amstelveen,PAS304      NR:075817EQ, 11.04.24/12:14      AMSTELVEEN",Dining,O
NL72ABNA0123456788,20240411,D,8.53,Google Pay,ALBERT HEIJN 2242,"BEA, Google Pay       ALBERT HEIJN 2242,PAS304        NR:98DD41, 11.04.24/17:22        ALMERE",Groceries,M
NL72ABNA0123456788,20240412,D,16.93,Google Pay,ALBERT HEIJN 2242,"BEA, Google Pay       ALBERT HEIJN 2242,PAS304        NR:98DD41, 12.04.24/17:19        ALMERE",Groceries,M
NL72ABNA0123456788,20240412,D,10,Google Pay,Squash Almere B.V.,"BEA, Google Pay       Squash Almere B.V.,PAS304       NR:K3C167, 12.04.24/18:05        ALMERE",Entertainment,O
NL72ABNA0123456788,20240412,D,4.75,iDEAL,Tikkie,SEPA iDEAL    IBAN: NL61ABNA0811086593        BIC: ABNANL2A Naam: Tikkie Omschrijving: 000811938073 00300 16472805128 Brown NL64ABNA0419109927 Tikkie   Kenmerk: 12-04-2024 20:56 0030016472805128,Others,M
NL72ABNA0123456788,20240413,D,69.89,Google Pay,AUTORADAM ALMERE OOST,"BEA, Google Pay       AUTORADAM ALMERE OOST,PAS304    NR:21685412, 13.04.24/12:57      ALMERE",Utilities,M
NL72ABNA0123456788,20240413,C,1000,SEPA OVERBOEKING,Unknown,SEPA Overboeking      IBAN: NL27ABNA0123456789        BIC: ABNANL2A Naam: PK SINGH,Others,M
NL72ABNA0123456788,20240413,D,1000,iDEAL,Wise,SEPA iDEAL    IBAN: NL04ADYB2017400157        BIC: ADYBNL2A Naam: Wise   Omschrijving: HBJMLXWKPBHP78F62I 2KW 7180197076580898 TW Payment 1034201195    Kenmerk: 13-04-2024 21:04 7180197076580898,Others,M
NL72ABNA0123456788,20240414,D,41.33,Google Pay,ALBERT HEIJN 2242,"BEA, Google Pay       ALBERT HEIJN 2242,PAS304        NR:584LN9, 14.04.24/10:54        ALMERE",Groceries,M
NL72ABNA0123456788,20240414,D,13.43,Google Pay,Action 1194,"BEA, Google Pay       Action 1194,PAS304   NR:06059077, 14.04.24/10:52      Almere",Utilities,M
NL72ABNA0123456788,20240414,D,5.99,Google Pay,BoekenVoordeel B.V.,"BEA, Google Pay       BoekenVoordeel B.V.,PAS304      NR:6DLP9P, 14.04.24/12:59        ALMERE",Utilities,M
NL72ABNA0123456788,20240414,D,4.4,Google Pay,FEBO Diagonaal,"BEA, Google Pay       FEBO Diagonaal,PAS304   NR:649X7L, 14.04.24/13:16        ALMERE",Dining,O
NL72ABNA0123456788,20240414,D,17.51,Google Pay,Vomar Filmwijk,"BEA, Google Pay       Vomar Filmwijk,PAS304   NR:03MC02, 14.04.24/20:10        ALMERE",Groceries,M
NL72ABNA0123456788,20240416,D,7.07,Google Pay,ABN AMRO Amstelveen,"BEA, Google Pay       ABN AMRO Amstelveen,PAS304      NR:075817EQ, 16.04.24/12:13      AMSTELVEEN",Dining,O
NL72ABNA0123456788,20240416,D,8.68,Google Pay,ALBERT HEIJN 2242,"BEA, Google Pay       ALBERT HEIJN 2242,PAS304        NR:N420T2, 16.04.24/17:35        ALMERE",Groceries,M
NL72ABNA0123456788,20240417,D,72.97,SEPA Incasso,Unknown,SEPA Incasso algemeen doorlopend Incassant: NL66ZZZ290379290000  Naam: Allianz Direct Vers./Allia nz Direct Netherlands   Machtiging: 01DN0000000000000000 000000000266631      Omschrijving: DN110274701        IBAN: DE90700202700020129028    Kenmerk: ACB24103-E29054677,Others,M
NL72ABNA0123456788,20240418,D,9.67,Google Pay,ALBERT HEIJN 2242,"BEA, Google Pay       ALBERT HEIJN 2242,PAS304        NR:8Q304Y, 18.04.24/08:13        ALMERE",Groceries,M
NL72ABNA0123456788,20240418,D,6.85,Google Pay,SAFFRAAN MINIMARKET,"BEA, Google Pay       SAFFRAAN MINIMARKET,PAS304      NR:50265073, 18.04.24/17:00      ALMERE",Groceries,M
NL72ABNA0123456788,20240419,D,16,Google Pay,Ranzijn Tuin & Dier,"BEA, Google Pay       Ranzijn Tuin & Dier,PAS304      NR:DC1504, 19.04.24/16:48        ALMERE",Utilities,M
NL72ABNA0123456788,20240419,D,13.15,Debit Card,Bos Vishandel,"BEA, Betaalpas        Bos Vishandel,PAS304 NR:36W297, 19.04.24/17:11        BUNSCHOTEN-SP",Dining,O
NL72ABNA0123456788,20240419,D,0.5,Debit Card,Bos Vishandel,"BEA, Betaalpas        Bos Vishandel,PAS304 NR:36W297, 19.04.24/17:12        BUNSCHOTEN-SP",Dining,O
NL72ABNA0123456788,20240419,D,5.3,Credit Card,Unknown,"ABN AMRO Bank N.V.    Basic Package    3,25CreditCard       2,05",Fee,M
NL72ABNA0123456788,20240420,D,24.89,Google Pay,ALBERT HEIJN 2242,"BEA, Google Pay       ALBERT HEIJN 2242,PAS304        NR:584LN9, 20.04.24/18:45        ALMERE",Groceries,M
NL72ABNA0123456788,20240421,D,20.95,Google Pay,ZEEMAN ALMERE KORTE PR,"BEA, Google Pay       ZEEMAN ALMERE KORTE PR,PAS304   NR:00002165, 21.04.24/12:25      ALMERE",Clothing,O
NL72ABNA0123456788,20240421,D,18.38,Google Pay,Action 1194,"BEA, Google Pay       Action 1194,PAS304   NR:06056821, 21.04.24/10:41      Almere",Utilities,M
NL72ABNA0123456788,20240421,D,2.39,Google Pay,BLOKKER0615ALMERE,"BEA, Google Pay       BLOKKER0615ALMERE,PAS304        NR:MCZ8LQ, 21.04.24/12:45        ALMERE",Utilities,M
NL72ABNA0123456788,20240421,D,15.25,Debit Card,Hema EV083,"BEA, Betaalpas        Hema EV083,PAS304    NR:017B98, 21.04.24/13:25        ALMERE",Clothing,O
NL72ABNA0123456788,20240421,D,16.58,Google Pay,ETOS 7433,"BEA, Google Pay       ETOS 7433,PAS304     NR:0B6T26, 21.04.24/14:26        ALMERE",Healthcare,M
NL72ABNA0123456788,20240422,C,648,SEPA OVERBOEKING,Unknown,SEPA Overboeking      IBAN: NL86INGB0002445588        BIC: INGBNL2A Naam: BELASTINGDIENST   Omschrijving: MAAND MEI NR. 5249 62820T400001 VOORSCHOT KINDEROPVANG 2024 (SINGH ) MEER INFO OP W WW.TOESLAGEN.NL      Kenmerk: COAXX165212474202404171,Others,M
NL72ABNA0123456788,20240422,D,40.7,iDEAL,Albelli,SEPA iDEAL    IBAN: NL04ADYB2017400157        BIC: ADYBNL2A Naam: Albelli        Omschrijving: VNDDTLWXKTPF96F62K 8QT 7180449476312458 Albelli    Kenmerk: 22-04-2024 11:17 718044 9476312458,Others,M
NL72ABNA0123456788,20240422,D,328,SEPA OVERBOEKING,Unknown,SEPA Overboeking      IBAN: NL86INGB0002445588        BIC: INGBNL2A Naam: Belastingdienst   Betalingskenm.: 4524962822330037 Kenmerk: Kinderopvangtoeslag terugbetalen,Others,M
NL72ABNA0123456788,20240422,D,56,iDEAL,Bunq B.V.,SEPA iDEAL    IBAN: NL78BUNQ2291284258        BIC: BUNQNL2A Naam: Bunq B.V.      Omschrijving: b7hhkvcq 014000086 6545915 NL43BUNQ2101036460 Joao Coelh...   Kenmerk: 22-04-2024 19:30 0140000866545915,Others,M
NL72ABNA0123456788,20240423,D,60.5,SEPA Incasso,Unknown,SEPA Incasso algemeen doorlopend Incassant: NL30ZZZ333034790000  Naam: ZIGGO SERVICES BV  Machtiging: 001742151800130122020000000335    Omschrijving: Klant Nr 17421518/380821797 April Factuur Nr 31531 5823830 zie ziggo.nl/mijnziggo  IBAN: NL98INGB0000845745,Others,M
NL72ABNA0123456788,20240423,D,3.75,Google Pay,AH to go 5812 Rdm Noor,"BEA, Google Pay       AH to go 5812 Rdm Noor,PAS304   NR:2GD601, 23.04.24/12:37        ROTTERDAM",Groceries,M
NL72ABNA0123456788,20240423,D,2.95,Google Pay,5825 AH Rotterdam,"BEA, Google Pay       5825 AH Rotterdam,PAS304        NR:CT841635, 23.04.24/12:42      ROTTERDAM",Groceries,M
NL72ABNA0123456788,20240423,D,1.6,Google Pay,5825 AH RTD,"BEA, Google Pay       5825 AH RTD,PAS304   NR:RD4KH5, 23.04.24/12:43        ROTTERDAM",Groceries,M
NL72ABNA0123456788,20240423,D,11.62,Google Pay,ALBERT HEIJN 2242,"BEA, Google Pay       ALBERT HEIJN 2242,PAS304        NR:584LN9, 23.04.24/17:28        ALMERE",Groceries,M
NL72ABNA0123456788,20240424,D,250,SEPA Incasso,Unknown,SEPA Incasso algemeen doorlopend Incassant: NL47ZZZ524034240000  Naam: Nationale Nederlanden Bank Machtiging: 99674    IBAN: NL97NNBA2001121164 Kenmerk: 4684470,Others,M
NL72ABNA0123456788,20240424,D,3.99,SEPA Incasso,Unknown,SEPA Incasso algemeen doorlopend Incassant: NL17ZZZ687259650000  Naam: RING.COM        Machtiging: 3HWR6SDALIC5CARU    Omschrijving: RING MONTHLY PLAN  IBAN: IE30CITI99005132956548    Kenmerk: STR16NAPXHRONBX7JQFCJRA NGGI5GI5DFD,Others,M
NL72ABNA0123456788,20240424,D,26.84,Google Pay,Lidl 737 Almere,"BEA, Google Pay       Lidl 737 Almere,PAS304  NR:1P8HJG, 24.04.24/17:05        ALMERE",Groceries,M
NL72ABNA0123456788,20240425,C,4000,SEPA OVERBOEKING,Unknown,SEPA Overboeking      BIC: ABNANL2A        ABN AMRO Bank Omschrijving: Salarisrekening   Kenmerk: NOTPROVIDED,Others,M
NL72ABNA0123456788,20240425,D,38.5,SEPA Incasso,Unknown,SEPA Incasso algemeen doorlopend Incassant: NL29ZZZ501527690000  Naam: Stichting Pay.nl   Machtiging: IO-9194-2981-4380   Omschrijving: Pay.nl inzake RM P ersonal Trainers / Referentie: T-baaakjEY / RM Personal Trainers  / IO-9194-2981-4380 IBAN: NL35RABO0117713678,Others,M
NL72ABNA0123456788,20240425,D,1200,iDEAL,Wise,SEPA iDEAL    IBAN: NL04ADYB2017400157        BIC: ADYBNL2A Naam: Wise   Omschrijving: JRMM4PHG8PZ2PPD32I 2KW 7180249479242984 TW Payment 1046593508    Kenmerk: 25-04-2024 08:11 7180249479242984,Others,M
NL72ABNA0123456788,20240425,C,163.6,Tikkie,Unknown,"SEPA Overboeking      IBAN: NL61ABNA0811086593        BIC: ABNANL2A Naam: AAB INZ TIKKIE Omschrijving: Tikkie ID 00081824 1830, Chapter drinks, Van D DHINGRA CJ, NL36ABNA0412096749",Others,M
NL72ABNA0123456788,20240425,D,7,Google Pay,TDC Rdam CS,"BEA, Google Pay       TDC Rdam CS,PAS304   NR:071108EQ, 25.04.24/18:30      ROTTERDAM",Others,M
NL72ABNA0123456788,20240425,D,2.85,Google Pay,ALBERT HEIJN 1653,"BEA, Google Pay       ALBERT HEIJN 1653,PAS304        NR:960CR4, 25.04.24/19:25        SCHIPHOL",Groceries,M
NL72ABNA0123456788,20240426,D,48.69,SEPA Incasso,Unknown,SEPA Incasso algemeen doorlopend Incassant: NL64ZZZ050580780000  Naam: ABN AMRO SCHADEV NV        Machtiging: 532469   Omschrijving: Kenmerk: 410000001 9748100 Omschrijving: Pakket + Pakketpolisnr: 52831199 + Periode : 26-04-2024 - 25-05-2024       IBAN: NL63ABNA0848824504,Others,M
NL72ABNA0123456788,20240426,D,30.69,iDEAL,Sijmons horeca exploitatie t.h.o.d. via Stichting Mollie P ayments  ,SEPA iDEAL    IBAN: NL51DEUT0265262461        BIC: DEUTNL2A Naam: Sijmons horeca exploitatie t.h.o.d. via Stichting Mollie P ayments   Omschrijving: M04360364MK8ED0W 1 152153776959293 Jouw bestelling burgerme.nl,Dining,O
NL72ABNA0123456788,20240426,D,9.44,Google Pay,ALBERT HEIJN 2242,"BEA, Google Pay       ALBERT HEIJN 2242,PAS304        NR:JX15L9, 26.04.24/17:38        ALMERE",Groceries,M
NL72ABNA0123456788,20240427,D,1.9,Google Pay,Hema EV083,"BEA, Google Pay       Hema EV083,PAS304    NR:L79TWR, 27.04.24/10:27        ALMERE",Clothing,O
NL72ABNA0123456788,20240427,D,8,Google Pay,Hema EV083,"BEA, Google Pay       Hema EV083,PAS304    NR:619N1B, 27.04.24/10:32        ALMERE",Clothing,O
NL72ABNA0123456788,20240427,D,24.54,Google Pay,Action 1194,"BEA, Google Pay       Action 1194,PAS304   NR:06056882, 27.04.24/09:12      Almere",Utilities,M
NL72ABNA0123456788,20240427,D,12.2,Debit Card,Tanger Almere,"BEA, Betaalpas        Tanger Almere,PAS304 NR:087708EQ, 27.04.24/15:21      ALMERE",Groceries,M
NL72ABNA0123456788,20240428,D,7.5,Google Pay,PAY.nl*FunZone Almere,"BEA, Google Pay       PAY.nl*FunZone Almere,PAS304    NR:SRL214, 28.04.24/10:06        ALMERE",Entertainment,O
NL72ABNA0123456788,20240428,D,17.85,Google Pay,PAY.nl*FunZone Almere,"BEA, Google Pay       PAY.nl*FunZone Almere,PAS304    NR:Z48L82, 28.04.24/10:48        ALMERE",Entertainment,O
NL72ABNA0123456788,20240428,D,13.5,Google Pay,PRIMARK ALMERE,"BEA, Google Pay       PRIMARK ALMERE,PAS304   NR:23938865, 28.04.24/12:31      ALMERE",Clothing,O
NL72ABNA0123456788,20240428,D,14.91,Google Pay,"Daily Style, Almere","BEA, Google Pay       Daily Style, Almere,PAS304      NR:85S0MS, 28.04.24/12:54        ALMERE",Dining,O
NL72ABNA0123456788,20240428,D,32.99,Google Pay,CCV*Cookinglife B.V.,"BEA, Google Pay       CCV*Cookinglife B.V.,PAS304     NR:CT851822, 28.04.24/13:14      GRONINGEN",Utilities,M
NL72ABNA0123456788,20240428,D,1.98,Google Pay,ZEEMAN ALMERE KORTE PR,"BEA, Google Pay       ZEEMAN ALMERE KORTE PR,PAS304   NR:00002165, 28.04.24/13:20      ALMERE",Clothing,O
NL72ABNA0123456788,20240428,D,4.28,Google Pay,Action 1194,"BEA, Google Pay       Action 1194,PAS304   NR:06056882, 28.04.24/11:30      Almere",Utilities,M
NL72ABNA0123456788,20240428,D,33.4,Google Pay,ALBERT HEIJN 2242,"BEA, Google Pay       ALBERT HEIJN 2242,PAS304        NR:N420T2, 28.04.24/17:04        ALMERE",Groceries,M
NL72ABNA0123456788,20240429,D,1236.53,SEPA Incasso,Unknown,SEPA Incasso algemeen doorlopend Incassant: NL77ZZZ342933670000  Naam: ONTV HYPOTHEEKGELDEN       Machtiging: ST10200018617790001 Omschrijving: Maandincasso voor  uw hypotheek PERIODE 04-2024    IBAN: NL95ABNA0588270288 Kenmerk: 000011530170970125NL0675,Others,M
NL72ABNA0123456788,20240429,D,297.73,SEPA Incasso,Unknown,SEPA Incasso algemeen doorlopend Incassant: NL10ZZZ302086370000  Naam: ZILVEREN KRUIS ZORG        Machtiging: 1360000570234       Omschrijving: Premie Zilveren Kr uis Relatienummer 191247200 Periode 01-05-2024 - 01-06-2024      IBAN: NL20ABNA0482318538        Kenmerk: 470061096690,Others,M
NL72ABNA0123456788,20240429,D,30,SEPA Incasso,Unknown,SEPA Incasso algemeen doorlopend Incassant: NL35ZZZ273653230000  Naam: BELASTINGDIENST Machtiging: 012918090   Omschrijving: RD-782-B      28-03-2024 t/m 27-04-2024  MEER INFO WW W.BELASTINGDIENST.NL IBAN: NL86INGB0002445588,Others,M
NL72ABNA0123456788,20240429,D,4.78,Google Pay,ABN AMRO Amsterdam,"BEA, Google Pay       ABN AMRO Amsterdam,PAS304       NR:076042EQ, 29.04.24/11:45      AMSTERDAM",Dining,O
NL72ABNA0123456788,20240430,D,21.55,Credit Card,Unknown,SEPA Incasso algemeen doorlopend Incassant: NL13ZZZ332005960000  Naam: INT CARD SERVICES  Machtiging: E070879000019001    Omschrijving: Incasso apr 2024 b etreffende uw creditcard ICS-klantnummer 70879000019  IBAN: NL23ABNA0818769483        Kenmerk: 05189CI001026216,Others,M
NL72ABNA0123456788,20240430,D,159.13,SEPA Incasso,Unknown,"SEPA Incasso algemeen doorlopend Incassant: NL39KPN271247010001  Naam: KPN B.V.        Machtiging: M10025092740        Omschrijving: Factuur 25-04-2024 , klantnummer 9107029022, kpn.com/thuisfactuur.       IBAN: NL41INGB0000467598        Kenmerk: 000011303540667",Others,M
NL72ABNA0123456788,20240430,C,2980.34,SEPA OVERBOEKING,Unknown,"SEPA Overboeking      IBAN: NL63ABNA0848824504        BIC: ABNANL2A Naam: ABN AMRO SCHADEV NV       Omschrijving: Kenmerk: 195005 Om schrijving: 28-02-2024, 10226318Kenmerk: 364719",Others,M
NL72ABNA0123456788,20240430,D,3000,SEPA OVERBOEKING,Unknown,SEPA Overboeking      IBAN: NL27ABNA0123456789        BIC: ABNANL2A Naam: PK SINGH,Others,M
NL72ABNA0123456788,20240430,D,5.84,Google Pay,ABN AMRO Amstelveen,"BEA, Google Pay       ABN AMRO Amstelveen,PAS304      NR:075817EQ, 30.04.24/12:12      AMSTELVEEN",Dining,O
NL72ABNA0123456788,20240501,D,24.75,Debit Card,CCV*Kwaliteitsvishande,"BEA, Betaalpas        CCV*Kwaliteitsvishande,PAS304   NR:CT846691, 01.05.24/14:06      BUNSCHOTEN SP",Dining,O
NL72ABNA0123456788,20240501,D,10.46,Debit Card,Robin en Kees AGF,"BEA, Betaalpas        Robin en Kees AGF,PAS304        NR:S58T2N, 01.05.24/14:11        ENKHUIZEN",Groceries,M
NL72ABNA0123456788,20240501,D,22.48,Google Pay,ETOS 7275,"BEA, Google Pay       ETOS 7275,PAS304     NR:QTF9FZ, 01.05.24/14:20        ALMERE",Healthcare,M
